year,iso_code,collector,number,family,species,sp_code,qds,lat,long,pathway,weight,n_qual,d.15NAIR,d.13CVPDB,X.N,X.C,C.N,d13_atmos
1934,144,"Pole-Evans, I.B.",3690,Poaceae,Hyparrhenia hirta,HH,2528CC,-25.875,28.125,C4,1.85,2,4.3,-10.3,1.4,45.7,32,-6.961154178
1925,145,"Hector, J.",1010,Poaceae,Digitaria eriantha,DE,2528CC,-25.875,28.125,C4,1.894,2,4.4,-10.6,2.1,43.5,20.8,-6.968
1922,146,"Pole-Evans, I.B.",342,Poaceae,Hyparrhenia hirta,HH,2528CC,-25.875,28.125,C4,1.835,2,4.3,-10.6,1.3,45.7,36,-6.857960447
1925,147,"McClean, A.P.D.",31,Poaceae,Hyparrhenia hirta,HH,2528CC,-25.875,28.125,C4,1.854,2,4.1,-10.4,1.9,46.1,23.9,-6.968
1925,148,"Hector, J.",1011,Poaceae,Hyparrhenia hirta,HH,2528CC,-25.875,28.125,C4,1.899,2,4,-9.7,1.2,42.1,34,-6.968
1922,149,"Pole-Evans, I.B.",427,Poaceae,Digitaria eriantha,DE,2528CC,-25.875,28.125,C4,1.961,2,3.4,-10.2,1.2,43.3,34.7,-6.857960447
1928,150,"Bevan, N.",PRE 7602,Poaceae,Digitaria eriantha,DE,2528CC,-25.875,28.125,C4,1.94,2,4.5,-10.8,1.6,43.4,26.4,-6.8392439
1929,151,"Stent, S.M.",PRE 8088,Poaceae,Digitaria eriantha,DE,2528CC,-25.875,28.125,C4,1.803,2,4.2,-10.6,1.6,42.2,25.7,-6.841285714
1929,152,"Sandwith, C.",103B,Poaceae,Koeleria capensis,KC,3418BB,-34.125,18.875,C3,1.74,0,4.2,-26.8,1.1,43.5,40.8,-6.841285714
1981,153,"McDonald, D.J.",620,Poaceae,Koeleria capensis,KC,3418BB,-34.125,18.875,C3,1.761,0,-3.1,-24.9,1,44.9,44.7,-7.610985883
1978,154,"Boucher, C.",3490,Poaceae,Koeleria capensis,KC,3418BB,-34.125,18.875,C3,1.822,0,-1.2,-27.5,0.8,43.8,57.8,-7.502
1944,155,"Parker, R.N.",3954,Poaceae,Koeleria capensis,KC,3418BB,-34.125,18.875,C3,1.896,2,1.4,-28.5,1.5,42.8,29.1,-7.079100425
1921,156,"Rogers, F.A.",26640,Poaceae,Koeleria capensis,KC,3418BB,-34.125,18.875,C3,1.863,0,3.7,-28,0.5,40.2,74.6,-6.89513872
1976,158,"Du Toit, P.C.V.",1877,Poaceae,Koeleria capensis,KC,3419BD,-34.375,19.875,C3,1.624,2,-2.2,-27.8,1.9,42.9,22.8,-7.4425
1978,159,"Cleghorn, W.B.",3150,Poaceae,Koeleria capensis,KC,3419BD,-34.375,19.875,C3,1.759,2,-1.8,-25.8,1.1,43.9,38.4,-7.502
